waveem,flux
6.006446e+03,2.175866e+00
6.004649e+03,2.130734e+00
6.002851e+03,2.102345e+00
6.001053e+03,2.252076e+00
5.999255e+03,2.087934e+00
5.997457e+03,2.176988e+00
5.995659e+03,2.080277e+00
5.993861e+03,2.088861e+00
5.992063e+03,2.221971e+00
5.990265e+03,2.235841e+00
5.988467e+03,2.108670e+00
5.986669e+03,2.123160e+00
5.984872e+03,2.002231e+00
5.983074e+03,2.205821e+00
5.981276e+03,2.082950e+00
5.979478e+03,2.132617e+00
5.977680e+03,2.121097e+00
5.975882e+03,2.329514e+00
5.974084e+03,4.535730e+00
5.972286e+03,2.659022e+00
5.970488e+03,2.024613e+00
5.968690e+03,2.190528e+00
5.966892e+03,2.155744e+00
5.965095e+03,2.011356e+00
5.963297e+03,2.087610e+00
5.961499e+03,2.186570e+00
5.959701e+03,2.145352e+00
5.957903e+03,2.199089e+00
5.956105e+03,2.113625e+00
5.954307e+03,2.101083e+00
5.952509e+03,2.157258e+00
5.950711e+03,2.169773e+00
5.948913e+03,2.061177e+00
5.947115e+03,2.053171e+00
5.945317e+03,2.065497e+00
5.943520e+03,2.193374e+00
5.941722e+03,2.226184e+00
5.939924e+03,2.115452e+00
5.938126e+03,2.103839e+00
5.936328e+03,2.129599e+00
5.934530e+03,2.053882e+00
5.932732e+03,2.180692e+00
5.930934e+03,2.138557e+00
5.929136e+03,2.179705e+00
5.927338e+03,2.117053e+00
5.925540e+03,2.068773e+00
5.923743e+03,2.008382e+00
5.921945e+03,1.947954e+00
5.920147e+03,2.170547e+00
5.918349e+03,2.044315e+00
5.916551e+03,2.005088e+00
5.914753e+03,1.991857e+00
5.912955e+03,2.017405e+00
5.911157e+03,2.035086e+00
5.909359e+03,2.054712e+00
5.907561e+03,2.061205e+00
5.905763e+03,2.108510e+00
5.903966e+03,1.906434e+00
5.902168e+03,1.887354e+00
5.900370e+03,1.896302e+00
5.898572e+03,1.872140e+00
5.896774e+03,1.770695e+00
5.894976e+03,1.801221e+00
5.893178e+03,1.864337e+00
5.891380e+03,1.784920e+00
5.889582e+03,1.960023e+00
5.887784e+03,1.899997e+00
5.885986e+03,1.813527e+00
5.884188e+03,2.206649e+00
5.882391e+03,1.974183e+00
5.880593e+03,2.007951e+00
5.878795e+03,1.979082e+00
5.876997e+03,2.186810e+00
5.875199e+03,2.028340e+00
5.873401e+03,2.055221e+00
5.871603e+03,2.047251e+00
5.869805e+03,1.968648e+00
5.868007e+03,2.021397e+00
5.866209e+03,2.092418e+00
5.864411e+03,2.000905e+00
5.862614e+03,2.073252e+00
5.860816e+03,2.061340e+00
5.859018e+03,2.082786e+00
5.857220e+03,2.006192e+00
5.855422e+03,2.133187e+00
5.853624e+03,2.093075e+00
5.851826e+03,1.978384e+00
5.850028e+03,2.032960e+00
5.848230e+03,2.054918e+00
5.846432e+03,2.063196e+00
5.844634e+03,2.227254e+00
5.842837e+03,2.103124e+00
5.841039e+03,2.032819e+00
5.839241e+03,2.207364e+00
5.837443e+03,2.028891e+00
5.835645e+03,2.161155e+00
5.833847e+03,2.177749e+00
